geography_code,gross_acres,illit,unemployed_pct,ho_pct,agecat1,agecat2,agecat3,agecat4,agecat5,agecat6,agecat7,influenza
G17003100001,1388.2,116,0.376950355,0.124822695,46,274,257,311,222,1122,587,9
G17003100002,217.7,14,0.399571341,0.071647275,35,320,441,624,276,1061,508,6
G17003100003,401.3,69,0.349557522,0.092920354,50,265,179,187,163,1020,392,8
G17003100004,86.9,11,0.422535211,0.030072326,43,241,129,141,123,1407,539,2
G17003100005,337.1,20,0.431822286,0.084702908,65,464,369,464,328,2625,1213,7
G17003100006,352.2,88,0.40857572,0.084937867,129,685,516,666,488,3194,1640,10
G17003100007,367.0,32,0.433773087,0.058487247,171,828,584,836,694,5460,2772,16
G17003100008,1108.8,114,0.363163597,0.078006501,80,583,475,526,286,1824,835,14
G17003100009,258.4,56,0.375761589,0.097086093,113,720,510,766,664,3199,1570,12
G17003100010,342.4,70,0.376987264,0.081247255,202,1100,763,1000,826,5022,2467,18
G17003100011,227.7,37,0.380793518,0.096747289,109,781,577,769,574,3930,1642,16
G17003100012,157.0,42,0.392146864,0.078191399,54,407,325,528,465,2633,1462,8
G17003100013,203.4,18,0.374270593,0.04532501,89,500,363,571,535,3493,1810,18
G17003100014,274.0,26,0.418620533,0.085476895,115,662,547,741,599,3953,2144,8
G17003100015,235.6,54,0.413179413,0.055892256,139,680,532,814,674,4903,2628,13
G17003100016,234.5,48,0.419019173,0.069948935,103,585,416,771,730,4835,2923,19
G17003100017,266.4,36,0.393140945,0.033877039,167,756,527,835,855,7503,3629,15
G17003100018,115.0,22,0.395859954,0.024150268,85,391,303,399,425,4056,2122,10
G17003100019,177.0,39,0.349591483,0.012296773,106,499,365,525,620,7125,2791,15
G17003100020,285.8,20,0.380235476,0.020073345,86,434,314,466,593,5778,2640,22
G17003100021,160.0,105,0.373425315,0.105578884,108,612,437,628,540,2758,1580,14
G17003100022,233.2,20,0.36997319,0.107238606,6,28,35,48,28,151,77,7
G17003100023,160.0,51,0.386587505,0.103090001,111,628,469,637,583,3333,1643,15
G17003100024,77.5,9,0.375994466,0.085437565,38,210,137,198,229,1346,730,9
G17003100025,40.0,6,0.356993737,0.099686848,32,194,127,175,170,843,375,3
G17003100026,40.0,17,0.37044055,0.103742302,24,192,148,189,174,890,490,7
G17003100027,40.0,18,0.369105691,0.099728997,33,140,96,128,130,854,464,2
G17003100028,40.0,7,0.352313167,0.078800203,35,216,152,178,158,825,402,4
G17003100029,40.0,17,0.36543015,0.074191002,43,264,200,269,217,1001,537,7
G17003100030,40.0,10,0.378498986,0.071805274,39,253,184,229,200,1002,555,3
G17003100031,78.5,13,0.329702556,0.087138668,45,258,187,229,204,966,496,8
G17003100032,80.1,70,0.360482655,0.085972851,59,264,225,290,227,1103,483,7
G17003100033,80.0,47,0.35042735,0.106046217,52,336,245,308,289,1269,657,6
G17003100034,229.4,53,0.402692515,0.07819063,102,617,492,739,723,4094,2494,18
G17003100035,80.0,21,0.376536054,0.084396012,79,378,238,407,345,1834,1024,13
G17003100036,80.4,28,0.400247525,0.072772277,68,304,253,339,349,1735,987,11
G17003100037,86.9,57,0.37712585,0.061862245,63,335,219,336,360,2084,1306,11
G17003100038,80.0,43,0.421892189,0.051980198,42,184,138,335,345,1656,927,6
G17003100039,80.0,62,0.349853659,0.024390244,47,240,190,252,299,2741,1327,9
G17003100040,81.0,19,0.42127531,0.01783016,39,158,133,179,161,1707,907,6
G17003100041,40.0,7,0.359350445,0.084337349,27,138,89,168,181,848,458,2
G17003100042,40.0,23,0.391022174,0.062195782,37,155,83,126,132,870,445,4
G17003100043,20.0,3,0.382806164,0.077047851,13,79,47,57,92,594,349,2
G17003100044,21.4,6,0.356321839,0.054597701,9,44,35,62,52,319,172,3
G17003100045,20.0,31,0.353813559,0.049258475,21,112,106,155,151,866,476,4
G17003100046,19.0,14,0.408653846,0.011538462,16,53,37,56,47,541,289,3
G17003100047,20.0,52,0.380523732,0.086743044,15,90,53,96,70,571,327,1
G17003100048,40.0,17,0.401553221,0.062128826,28,203,136,208,178,913,520,7
G17003100049,50.0,136,0.376876877,0.067192192,41,253,177,244,207,1135,604,4
G17003100050,40.0,52,0.362978723,0.063404255,38,232,160,231,185,1014,485,1
G17003100051,59.4,11,0.344747082,0.045136187,58,337,265,360,270,1655,901,4
G17003100052,49.0,24,0.334942932,0.028972783,52,297,199,292,282,2269,1153,8
G17003100053,114.9,45,0.379472693,0.032328939,62,353,341,426,424,3058,1700,11
G17003100054,80.0,26,0.328542094,0.070225873,50,267,192,241,211,949,524,8
G17003100055,80.0,79,0.346060606,0.068080808,75,512,359,515,447,2005,1032,6
G17003100056,80.0,84,0.355650877,0.056881761,86,567,424,553,450,2123,1157,12
G17003100057,80.0,16,0.354380561,0.057323751,99,475,412,533,420,2463,1440,7
G17003100058,80.7,25,0.34375,0.033638535,57,344,249,325,309,2492,1235,16
G17003100059,85.7,32,0.353020392,0.032127741,61,246,202,342,305,2621,1402,11
G17003100060,107.8,4,0.406934695,0.028079132,32,238,151,230,242,2378,1412,2
G17003100061,162.1,258,0.275127768,0.04088586,106,508,360,353,222,1490,477,20
G17003100062,80.0,485,0.305675676,0.054324324,96,487,329,395,296,1547,547,17
G17003100063,78.5,127,0.353248381,0.056820556,99,617,360,493,377,1973,852,23
G17003100064,79.7,62,0.355858783,0.040069309,73,409,307,473,400,1889,1051,11
G17003100065,80.0,27,0.35107394,0.038965976,97,397,315,455,391,2347,1257,9
G17003100066,80.9,36,0.355189137,0.046362755,76,382,270,379,352,2355,1318,13
G17003100067,76.6,12,0.352775978,0.026787643,31,152,140,220,256,2474,1325,6
G17003100068,100.4,137,0.320954907,0.042145594,82,438,281,336,236,1456,541,5
G17003100069,89.4,295,0.329122567,0.046773643,68,357,252,289,230,1162,571,13
G17003100070,80.0,117,0.371257485,0.040419162,105,518,344,514,417,2582,1520,9
G17003100071,80.0,161,0.360396384,0.033205841,75,427,331,514,481,2635,1271,6
G17003100072,80.0,79,0.348432687,0.041311832,66,390,362,499,442,2437,1313,13
G17003100073,73.3,18,0.348070303,0.025910491,59,324,236,348,355,2757,1414,9
G17003100074,98.3,35,0.331509847,0.046498906,41,203,178,195,131,687,392,10
G17003100075,79.6,525,0.336112269,0.041128248,147,775,570,706,488,3039,1470,19
G17003100076,79.4,100,0.326936164,0.043691303,140,791,562,666,520,3163,1496,20
G17003100077,40.0,156,0.495412844,0.03931848,56,330,307,373,309,1586,852,4
G17003100078,39.5,85,0.336834016,0.051997951,71,371,320,415,313,1533,880,14
G17003100079,116.9,86,0.322828758,0.022647153,106,478,379,527,571,4910,2323,14
G17003100080,158.4,15,0.248995984,0.020080321,9,38,27,36,40,210,138,4
G17003100081,78.2,614,0.325411335,0.041203769,157,858,691,867,586,2660,1269,31
G17003100082,76.5,606,0.386716504,0.03680276,126,757,633,818,549,2655,1402,27
G17003100083,86.1,260,0.323867572,0.028120238,84,638,465,619,501,3197,1648,19
G17003100084,68.0,20,0.276053577,0.022868344,45,221,155,252,329,3523,1547,15
G17003100085,48.6,1,0.320417936,0.049629952,16,87,72,113,132,1152,721,8
G17003100086,140.7,153,0.331749802,0.034837688,39,179,144,197,111,399,189,26
G17003100087,54.2,1280,0.30690498,0.019095631,164,985,738,846,521,2246,1045,26
G17003100088,37.4,118,0.290296053,0.016173246,63,331,248,343,274,1535,853,8
G17003100089,70.8,57,0.246255715,0.006936781,46,226,160,231,334,3779,1506,35
G17003100090,81.5,33,0.279467232,0.015322961,52,326,245,401,484,4647,2259,23
G17003100091,54.3,941,0.279123414,0.016339869,142,706,542,603,354,1824,1022,41
G17003100092,20.3,16,0.335435057,0.015132409,15,85,48,57,56,347,185,2
G17003100093,71.2,34,0.268041237,0.025773196,4,33,20,25,10,66,36,0
G17003100094,49.0,82,0.24066092,0.001436782,18,108,106,119,99,586,352,5
G17003100095,84.7,390,0.234390993,0.003198567,141,274,180,214,515,4330,2056,35
G17003100096,96.7,119,0.178911946,0.005720695,33,204,155,178,439,5489,2407,19
G17003100097,219.9,55,0.289767294,0.007650622,27,128,69,128,207,1752,767,7
G17003100098,438.0,1,0.410526316,0.166315789,20,107,85,103,70,363,202,1
G17003100099,852.0,8,0.458300238,0.164416203,34,255,220,283,156,907,663,4
G17003100100,1559.0,15,0.388888889,0.119883041,25,111,107,110,77,374,222,2
G17003100101,733.9,475,0.348515582,0.118015858,121,767,562,648,437,2025,859,23
G17003100102,1320.0,13,0.360503282,0.145514223,46,226,173,186,127,813,257,7
G17003100103,1172.0,51,0.451280661,0.079414555,126,629,541,948,420,3434,1281,10
G17003100104,147.6,9,0.397959184,0.056928034,42,164,108,150,126,973,298,5
G17003100105,640.0,20,0.349845201,0.175586024,45,320,263,319,166,826,322,1
G17003100106,964.9,84,0.37759267,0.127363599,210,1332,1012,1256,893,5301,1997,32
G17003100107,640.0,124,0.383310534,0.173187415,74,481,413,441,263,1472,509,11
G17003100108,640.0,338,0.388002201,0.141717116,173,916,740,915,543,2931,1034,15
G17003100109,633.9,109,0.367940048,0.115061232,172,1130,933,1128,865,4515,2188,14
G17003100110,640.0,123,0.376445846,0.110505688,343,2067,1567,1982,1656,9316,3970,41
G17003100111,410.7,43,0.373065015,0.110570544,199,878,560,772,675,4173,1778,15
G17003100112,636.3,132,0.385631323,0.119426752,139,1099,888,1216,900,4336,2084,20
G17003100113,640.2,363,0.355251077,0.107775973,291,1634,1154,1523,1206,6019,2328,30
G17003100114,401.5,63,0.363469692,0.094648791,164,969,733,1002,759,3504,1588,19
G17003100115,635.0,29,0.352564103,0.181952663,49,305,224,242,140,781,287,3
G17003100116,1285.0,43,0.336091298,0.124393723,97,511,400,440,268,1341,446,10
G17003100117,640.0,169,0.325497288,0.170886076,30,216,164,137,57,404,95,8
G17003100118,640.0,35,0.317095588,0.136642157,101,579,393,331,191,1347,318,9
G17003100119,538.2,398,0.32990099,0.103366337,186,1136,808,947,564,2877,1049,14
G17003100120,640.0,26,0.3644641,0.108480749,76,453,317,345,283,1765,602,9
G17003100121,639.4,161,0.370956026,0.100016763,312,1788,1491,2121,1572,7221,3383,46
G17003100122,160.5,269,0.334696824,0.075673725,159,1087,813,1009,783,3338,1119,21
G17003100123,158.7,82,0.346941204,0.085455844,188,1049,712,892,744,3436,1378,21
G17003100124,120.6,11,0.363059701,0.090858209,101,529,397,517,472,2239,1103,8
G17003100125,40.0,6,0.362416107,0.095302013,31,160,109,146,127,603,313,2
G17003100126,158.9,19,0.363587969,0.091562417,80,408,276,422,355,1504,708,12
G17003100127,160.0,136,0.366197183,0.088891842,146,757,584,713,658,3244,1422,21
G17003100128,160.0,51,0.418620318,0.090945837,65,515,376,581,611,3315,1940,16
G17003100129,80.0,14,0.383398247,0.069863681,46,257,208,321,330,1883,1056,10
G17003100130,80.0,10,0.390935531,0.086039748,65,294,234,373,337,1778,1037,4
G17003100131,80.0,41,0.370946393,0.086366645,41,261,228,281,250,1257,704,3
G17003100132,77.8,18,0.349144885,0.089060987,58,309,231,332,273,1293,600,9
G17003100133,154.6,2,0.345794393,0.075350467,33,209,142,197,151,693,284,9
G17003100134,160.0,26,0.383031429,0.098622078,106,605,484,672,504,2845,1240,23
