"Obec / Kandidát (2023-2)";"Petr Pavel";"Andrej Babiš"
"Politická příslušnost";"BEZPP";"ANO"
"Celkem";58,32;41,67
"Abertamy";62,98;37,01
"Adamov (Blansko, 581291)";57,17;42,82
"Adamov (České Budějovice, 535826)";65,17;34,82
"Adamov (Kutná Hora, 531367)";53,84;46,15
"Adršpach";62,18;37,81
"Albrechtice (Karviná, 598925)";40,6;59,39
"Albrechtice nad Orlicí";66,35;33,64
"Albrechtice nad Vltavou";55,71;44,28
"Albrechtice (Ústí nad Orlicí, 547981)";46,21;53,78
"Albrechtice v Jizerských horách";84,08;15,91
"Albrechtičky";64,75;35,25
"Alojzov";52,86;47,13
"Andělská Hora (Bruntál, 551929)";43,34;56,65
"Andělská Hora (Karlovy Vary, 538001)";60;40
"Anenská Studánka";43,24;56,75
"Archlebov";54,21;45,78
"Arneštovice";37,28;62,71
"Arnolec";46,46;53,53
"Arnoltice";54,73;45,26
"Aš";46,55;53,44
"Babice (Hradec Králové, 569828)";50;50
"Babice nad Svitavou";72,93;27,06
"Babice (Olomouc, 552356)";44,59;55,4
"Babice (Praha-východ, 538043)";73,39;26,6
"Babice (Prachatice, 537241)";65,38;34,61
"Babice (Třebíč, 590274)";56,42;43,57
"Babice u Rosic";59;40,99
"Babice (Uherské Hradiště, 592013)";54,55;45,44
"Babylon";54,92;45,07
"Bácovice";42,3;57,69
"Bačalky";55,04;44,95
"Bačetín";62,24;37,75
"Bačice";42,74;57,25
"Bačkov";44,28;55,71
"Bačkovice";27,45;72,54
"Bakov nad Jizerou";59;40,99
"Baliny";64,55;35,44
"Balkova Lhota";63,85;36,14
"Banín";38,69;61,3
"Bánov";52,93;47,06
"Báňovice";81,81;18,18
"Bantice";53,33;46,66
"Barchov (Hradec Králové, 569836)";51,82;48,17
"Barchov (Pardubice, 574724)";55,68;44,31
"Barchovice";61,58;38,41
"Bartošovice";42,48;57,51
"Bartošovice v Orlických horách";82,75;17,24
"Bartoušov";50;50
"Bařice-Velké Těšany";55,1;44,89
"Baška";55,5;44,49
"Bašnice";47,54;52,45
"Bašť";75,33;24,66
