kod_obce,nazev_obce,kod_orp,nazev_orp,kod_okresu,nazev_okresu,kod_kraje,nazev_kraje,podil_osob_v_exekuci
500011,Želechovice nad Dřevnicí,7213,Zlín,40851,Zlín,3131,Zlínský kraj,3.1
500020,Petrov nad Desnou,7111,Šumperk,40819,Šumperk,3123,Olomoucký kraj,4.6
500046,Libhošť,8115,Nový Jičín,40894,Nový Jičín,3140,Moravskoslezský kraj,2.1
500062,Krhová,7210,Valašské Meziříčí,40843,Vsetín,3131,Zlínský kraj,1.9
500071,Poličná,7210,Valašské Meziříčí,40843,Vsetín,3131,Zlínský kraj,1.3
500101,Bražec,4103,Karlovy Vary,40436,Karlovy Vary,3051,Karlovarský kraj,16.7
500127,Doupovské Hradiště,4106,Ostrov,40436,Karlovy Vary,3051,Karlovarský kraj,12.7
500135,Kozlov,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,17.7
500151,Luboměř pod Strážnou,7101,Hranice,40801,Přerov,3123,Olomoucký kraj,2.9
500160,Město Libavá,7110,Šternberk,40789,Olomouc,3123,Olomoucký kraj,19.4
500194,Polná na Šumavě,3103,Český Krumlov,40291,Český Krumlov,3034,Jihočeský kraj,27.4
500259,Veřovice,8105,Frenštát pod Radhoštěm,40894,Nový Jičín,3140,Moravskoslezský kraj,2.6
500291,Vřesina,8119,Ostrava,40916,Ostrava-město,3140,Moravskoslezský kraj,2.2
500496,Olomouc,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,7.1
500526,Bělkovice-Lašťany,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,3.4
500623,Bílá Lhota,7105,Litovel,40789,Olomouc,3123,Olomoucký kraj,3.3
500801,Blatec,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,4.0
500852,Bohuňovice,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,3.1
500861,Bouzov,7105,Litovel,40789,Olomouc,3123,Olomoucký kraj,4.1
500879,Bystročice,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,3.9
501476,Dlouhá Loučka,7112,Uničov,40789,Olomouc,3123,Olomoucký kraj,5.6
501646,Dolany,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,2.9
501751,Drahanovice,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,4.0
501794,Dub nad Moravou,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,4.4
501841,Grygov,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,4.5
502146,Hlubočky,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,6.4
502235,Hněvotín,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,3.2
502405,Hnojice,7110,Šternberk,40789,Olomouc,3123,Olomoucký kraj,5.4
502545,Horka nad Moravou,7107,Olomouc,40789,Olomouc,3123,Olomoucký kraj,4.9
502839,Cholina,7105,Litovel,40789,Olomouc,3123,Olomoucký kraj,2.5
503142,Jívová,7110,Šternberk,40789,Olomouc,3123,Olomoucký kraj,6.2
